ID,Age,Gender,Income_Level,Risk_Appetite,Experience_Years,Preferred_Trading,Investment_Frequency,Monthly_Investment,Platform
1,49,Female,Low,Low,10,Positional,Monthly,13964,AngelOne
2,41,Female,Low,Medium,6,Long-term,Weekly,8265,Groww
3,39,Male,High,Medium,6,Intraday,Daily,6426,Zerodha
4,31,Female,Medium,Low,7,Long-term,Weekly,13363,Upstox
5,44,Female,High,Medium,2,Intraday,Weekly,3685,Groww
6,22,Male,Low,Medium,7,Intraday,Monthly,4433,Zerodha
7,41,Male,Low,Low,0,SIP,Weekly,8396,Zerodha
8,45,Male,Medium,Low,0,Positional,Weekly,10666,AngelOne
9,48,Female,Medium,High,2,Intraday,Monthly,3899,Groww
10,23,Female,Low,Medium,4,Positional,Weekly,5890,Groww
11,27,Male,High,Medium,4,Long-term,Weekly,16502,Groww
12,38,Female,Medium,High,3,SIP,Monthly,10792,Groww
13,34,Female,High,Low,1,Intraday,Daily,12233,Upstox
14,29,Female,Medium,High,9,SIP,Monthly,4612,Zerodha
15,22,Male,High,High,3,Long-term,Weekly,17787,Zerodha
16,28,Female,High,Medium,2,Positional,Weekly,16541,Groww
17,37,Female,Medium,Low,3,Long-term,Monthly,3585,Upstox
18,24,Male,Medium,Low,1,Positional,Weekly,3021,Groww
19,26,Female,Medium,Medium,5,Positional,Monthly,15417,AngelOne
20,24,Female,Medium,High,5,Long-term,Daily,11692,Groww
21,38,Female,Medium,Low,9,SIP,Monthly,7675,Upstox
22,54,Male,Low,Medium,9,Intraday,Monthly,2995,Zerodha
23,34,Male,High,Medium,7,Long-term,Daily,9629,Zerodha
24,43,Male,Medium,High,8,Positional,Weekly,10529,AngelOne
25,44,Male,Medium,Low,9,SIP,Daily,8331,Upstox
26,49,Male,High,High,0,Long-term,Monthly,18216,Zerodha
27,27,Female,Medium,High,8,SIP,Daily,4027,AngelOne
28,28,Male,Low,Medium,7,Intraday,Weekly,17422,Groww
29,31,Male,Medium,High,2,Intraday,Daily,8736,AngelOne
30,28,Male,Low,Medium,2,Positional,Daily,14666,Groww
31,25,Female,Low,High,9,Positional,Weekly,8184,AngelOne
32,48,Female,Medium,Medium,6,Positional,Weekly,10392,Zerodha
33,28,Male,Medium,Low,1,SIP,Weekly,4454,Groww
34,44,Female,Low,Medium,4,Intraday,Weekly,12965,Zerodha
35,47,Female,Medium,High,2,Intraday,Daily,7056,AngelOne
36,55,Female,Low,High,4,Long-term,Daily,10110,Upstox
37,34,Female,Low,Medium,2,Positional,Weekly,19412,Groww
38,46,Female,High,Low,6,Intraday,Daily,8910,Upstox
39,34,Female,Low,Medium,6,Positional,Monthly,2206,Groww
40,35,Male,Medium,High,9,Positional,Monthly,19868,Zerodha
41,52,Female,Medium,Medium,6,Positional,Monthly,10755,Zerodha
42,52,Female,High,Low,3,Long-term,Daily,16820,AngelOne
43,43,Male,High,High,6,Positional,Monthly,3678,Upstox
44,49,Female,Medium,Low,3,Long-term,Monthly,18198,Zerodha
45,42,Male,Low,Low,1,Intraday,Daily,12921,Groww
46,26,Female,Medium,Low,3,SIP,Monthly,18157,AngelOne
47,31,Male,Low,High,9,Long-term,Monthly,12230,AngelOne
48,48,Male,Medium,Low,8,Long-term,Monthly,13494,Zerodha
49,53,Female,Medium,Medium,0,SIP,Daily,3306,Upstox
50,33,Male,High,Medium,8,SIP,Monthly,11474,Groww
51,26,Male,Medium,High,7,Intraday,Weekly,7530,AngelOne
52,29,Male,Medium,Medium,4,SIP,Daily,15545,Upstox
53,44,Female,High,Medium,10,SIP,Monthly,19879,Groww
54,32,Male,Medium,High,6,Long-term,Weekly,13649,Upstox
55,23,Female,Medium,Medium,0,Long-term,Daily,3636,AngelOne
56,37,Female,High,Medium,10,Long-term,Monthly,6737,Upstox
57,48,Female,Medium,Medium,5,Long-term,Weekly,2854,Zerodha
58,52,Female,Low,Medium,0,Long-term,Daily,15949,Upstox
59,22,Female,Medium,Low,4,Long-term,Monthly,7791,AngelOne
60,26,Female,Low,High,6,SIP,Weekly,6931,AngelOne
61,31,Male,Low,High,7,Long-term,Weekly,14688,AngelOne
62,44,Female,Medium,Medium,4,Positional,Weekly,9777,Upstox
63,26,Female,Medium,Medium,5,Long-term,Daily,3930,Groww
64,36,Female,High,Medium,0,Positional,Weekly,11339,AngelOne
65,26,Male,Medium,Medium,2,SIP,Daily,19043,Zerodha
66,39,Female,Medium,Low,9,SIP,Weekly,3986,Groww
67,39,Female,Medium,Medium,3,Long-term,Weekly,4911,Upstox
68,27,Male,Medium,High,3,Intraday,Daily,10680,Zerodha
69,53,Male,Low,Medium,7,Long-term,Daily,7759,AngelOne
70,38,Female,Low,Low,7,Positional,Daily,6736,Upstox
71,31,Male,Medium,Medium,8,SIP,Weekly,8616,AngelOne
72,43,Female,Medium,Medium,9,SIP,Weekly,18646,Upstox
73,36,Female,Low,Medium,9,SIP,Weekly,11208,Upstox
74,22,Male,Low,Medium,0,SIP,Monthly,7423,Zerodha
75,32,Male,High,Low,4,SIP,Weekly,9158,Zerodha
76,29,Female,High,Medium,8,SIP,Monthly,11874,Upstox
77,36,Male,Low,Low,2,Intraday,Monthly,6499,Zerodha
78,44,Female,Medium,Medium,5,Positional,Weekly,14183,Groww
79,31,Male,Low,Low,0,Long-term,Weekly,7539,AngelOne
80,40,Male,Low,Medium,2,Positional,Monthly,4557,Groww
81,45,Male,Medium,Medium,2,Long-term,Daily,4200,Groww
82,49,Female,Low,Medium,1,Intraday,Weekly,16207,Upstox
83,38,Female,High,Medium,1,Intraday,Daily,4869,Zerodha
84,55,Male,Medium,Low,8,SIP,Daily,7699,Upstox
85,53,Female,Low,Medium,4,Long-term,Monthly,5987,Zerodha
86,28,Female,High,High,6,SIP,Monthly,3218,Groww
87,37,Male,Medium,High,0,Intraday,Monthly,6555,Zerodha
88,42,Male,Medium,Medium,6,Long-term,Daily,19429,Upstox
89,50,Female,High,Low,5,SIP,Daily,16565,Zerodha
90,28,Male,Medium,Low,10,SIP,Monthly,18609,AngelOne
91,41,Male,Medium,Medium,0,Long-term,Weekly,9022,AngelOne
92,53,Male,Medium,Medium,4,Positional,Daily,9996,Groww
93,39,Male,Medium,High,3,Positional,Weekly,6642,AngelOne
94,37,Female,High,Medium,4,Long-term,Weekly,12757,AngelOne
95,55,Female,Medium,High,8,SIP,Monthly,3060,Groww
96,44,Female,Medium,High,0,Positional,Monthly,2301,AngelOne
97,51,Male,Low,High,2,Long-term,Monthly,2699,Groww
98,53,Male,Medium,High,3,SIP,Weekly,2190,Upstox
99,41,Male,Medium,Low,6,Long-term,Monthly,19568,Upstox
100,23,Male,High,Medium,1,Positional,Weekly,3816,Groww
